id,name,nameES,categoriaId,medidaId
171677,"Cereals, whole wheat hot natural cereal, cooked with water, with salt","Cereales, cereales naturales calientes de trigo integral, cocidos con agua y sal",4,2
171668,"Cereals, whole wheat hot natural cereal, cooked with water, without salt","Cereales, cereales naturales calientes de trigo integral, cocidos con agua, sin sal",4,2
174827,"Beverages, GEROLSTEINER BRUNNEN GmbH & Co. KG,Gerolsteiner naturally sparkling mineral water,","Bebidas, GEROLSTEINER BRUNNEN GmbH & Co. KG, agua mineral con gas natural Gerolsteiner,",4,2
2710540,"Water, carbonated, flavored","Agua con gas, con sabor",4,2
2710710,"Water beverage, fruit flavored",Agua con sabor a fruta,4,2
2710709,"Water, non-carbonated, flavored","Agua sin gas, aromatizada",4,2
2707572,"Coconut water, unsweetened","Agua de coco, sin azúcar",4,2
2707573,"Coconut water, sweetened",Agua de coco azucarada,4,2
170174,"Nuts, coconut water (liquid from coconuts)","Frutos secos, agua de coco (líquido de los cocos)",4,2
2710538,"Water, tonic","Agua, tónica",4,2
171869,"Beverages, carbonated, tonic water","Bebidas, gaseosas, agua tónica",4,2
2710539,"Water, carbonated, plain","Agua, con gas, sin gas",4,2
2710697,Wine spritzer,Vino con soda,4,2
2710708,"Water, bottled, plain","Agua embotellada, sin gas",4,2
174155,"Beverages, tea, black, brewed, prepared with distilled water","Bebidas, té, negro, infusionado, preparado con agua destilada",4,2
2710602,"Horchata, made with water","Horchata, elaborada con agua",4,2
175090,"Beverages, tea, instant, lemon, sweetened, prepared with water","Bebidas, té, instantáneo, con limón, azucarado, preparado con agua",4,2
168832,"Pudding, lemon, dry mix, regular, prepared with sugar, egg yolk and water","Pudín de limón, preparado en polvo, normal, elaborado con azúcar, yema de huevo y agua",4,2
172914,"Soup, mushroom barley, canned, prepared with equal volume water","Sopa de cebada y setas, en lata, preparada con la misma cantidad de agua",4,2
2710665,Vodka and lemonade,Vodka y limonada,4,2
174858,"Beverages, Lemonade, powder","Bebidas, limonada, en polvo",4,2
2710570,"Lemonade, fruit juice drink","Limonada, bebida de zumo de frutas",4,2
2710474,"Coffee, Cappuccino, with non-dairy milk","Café, capuchino, con leche vegetal",4,2
2710388,"Coffee, Latte, with non-dairy milk","Café con leche, con leche vegetal",4,2
2710477,"Coffee, Cappuccino, decaffeinated, with non-dairy milk","Café, capuchino, descafeinado, con leche vegetal",4,2
2710378,"Coffee, espresso","Café, espresso",4,2
2710379,"Coffee, espresso, decaffeinated","Café, espresso, descafeinado",4,2
171891,"Beverages, coffee, brewed, espresso, restaurant-prepared","Bebidas, café, café filtrado, café expreso, preparado en restaurante",4,2
2710472,"Coffee, Cappuccino","Café, capuchino",4,2
2710475,"Coffee, Cappuccino, decaffeinated","Café, capuchino, descafeinado",4,2
2710473,"Coffee, Cappuccino, nonfat","Café, capuchino, desnatado",4,2
2710386,"Coffee, Latte","Café, café con leche",4,2
2710431,"Coffee, Iced Latte","Café, latte helado",4,2
2710392,"Coffee, Latte, decaffeinated","Café, café con leche, descafeinado",4,2
2710410,"Coffee, Cafe Mocha","Café, café moca",4,2
173777,"SILK Mocha, soymilk","SILK Mocha, leche de soja",4,2
2710416,Frozen mocha coffee drink,Bebida de café moca helada,4,2
2710480,"Coffee, instant, not reconstituted","Café instantáneo, no reconstituido",4,2
2710449,"Coffee, instant, reconstituted","Café instantáneo, reconstituido",4,2
2710374,"Coffee, NS as to brewed or instant","Café, NS: ya sea de filtro o instantáneo",4,2
2710452,"Coffee, brewed, decaffeinated","Café, filtrado, descafeinado",4,2
2710488,"Tea, hot, leaf, black","Té, caliente, en hojas, negro",4,2
2710527,"Tea, iced, bottled, black","Té, helado, embotellado, negro",4,2
2710489,"Tea, hot, leaf, black, decaffeinated","Té, caliente, en hojas, negro, descafeinado",4,2
2710490,"Tea, hot, leaf, green","Té, caliente, en hojas, verde",4,2
2710533,"Tea, iced, bottled, green","Té, helado, embotellado, verde",4,2
2710491,"Tea, hot, leaf, green, decaffeinated","Té, caliente, en hojas, verde, descafeinado",4,2
2710505,"Tea, hot, chamomile","Té, caliente, de manzanilla",4,2
174156,"Beverages, tea, herb, brewed, chamomile","Bebidas, té, infusión de hierbas, infusión de manzanilla",4,2
173232,"Beverages, tea, herb, other than chamomile, brewed","Bebidas, té, infusiones de hierbas (excepto la manzanilla), preparadas",4,2
2710506,"Tea, hot, with milk","Té, caliente, con leche",4,2
2710507,"Tea, ginger","Té, jengibre",4,2
173231,"Beverages, tea, instant, lemon, diet","Bebidas, té, instantáneo, de limón, light",4,2
175088,"Beverages, tea, instant, lemon, unsweetened","Bebidas, té, instantáneo, de limón, sin azúcar",4,2
175110,"Beverages, ARIZONA, tea, ready-to-drink, lemon","Bebidas, ARIZONA, té, listo para beber, limón",4,2
2710535,"Tea, iced, bottled, green, unsweetened","Té, helado, embotellado, verde, sin azúcar",4,2
2710377,"Coffee, Turkish",Café turco,4,2
2710681,Alcoholic coffee drink,Bebida de café con alcohol,4,2
171354,"Babyfood, juice, orange","Alimentos para bebés, zumo, naranja",4,2
171355,"Babyfood, juice, orange and apple","Alimentos para bebés, zumo, naranja y manzana",4,2
170961,"Babyfood, juice, orange and apricot","Alimentos para bebés, zumo, naranja y albaricoque",4,2
2709320,"Apple juice, 100%","Zumo de manzana, 100 %",4,2
170959,"Babyfood, juice, apple","Comida para bebés, zumo, manzana",4,2
2709374,"Baby Toddler juice, apple","Zumo para bebés y niños pequeños, de manzana",4,2
2709329,"Pineapple juice, 100%","Zumo de piña, 100 %",4,2
170963,"Babyfood, juice, orange and pineapple","Alimentos para bebés, zumo, naranja y piña",4,2
167792,Orange Pineapple Juice Blend,Mezcla de zumo de naranja y piña,4,2
2709683,"Carrot juice, 100%","Zumo de zanahoria, 100 %",4,2
170491,"Carrot juice, canned","Zumo de zanahoria, en lata",4,2
169043,"Babyfood, juice, orange-carrot","Comida para bebés, zumo, naranja y zanahoria",4,2
2709325,"Grape juice, 100%","Zumo de uva, 100 %",4,2
2709375,"Baby Toddler juice, grape","Zumo para bebés y niños pequeños, de uva",4,2
2710589,"Grape juice drink, light","Bebida de zumo de uva, light",4,2
167774,"Grapefruit juice, pink, raw","Zumo de pomelo rosa, sin procesar",4,2
173039,"Grapefruit juice, white, raw","Zumo de pomelo blanco, sin procesar",4,2
2709176,"Grapefruit juice, 100%, freshly squeezed","Zumo de pomelo, 100 %, recién exprimido",4,2
167795,"Fruit juice smoothie, NAKED JUICE, MIGHTY MANGO","Batido de zumo de frutas, NAKED JUICE, MIGHTY MANGO",4,2
174165,"Beverages, V8 SPLASH Juice Drinks, Mango Peach","Bebidas, zumos V8 SPLASH, mango y melocotón",4,2
171933,"Beverages, V8 V-FUSION Juices, Peach Mango","Bebidas, zumos V8 V-FUSION, melocotón y mango",4,2
2709333,"Watermelon juice, 100%","Zumo de sandía, 100 %",4,2
2710592,"Lemonade, fruit juice drink, light","Limonada, bebida de zumo de frutas, light",4,2
2710512,Iced Tea / Lemonade juice drink,Té helado / Bebida de zumo de limonada,4,2
2709730,Tomato juice cocktail,Cóctel de zumo de tomate,4,2
2709728,"Tomato juice, 100%","Zumo de tomate, 100 %",4,2
2709731,"Tomato and vegetable juice, 100%","Zumo de tomate y verduras, 100 %",4,2
2709323,Blueberry juice,Zumo de arándanos,4,2
2710596,"Fruit flavored drink, with high vitamin C, diet","Bebida con sabor a fruta, rica en vitamina C, light",4,2
2709317,"Cranberry juice blend, 100% juice","Mezcla de zumo de arándanos rojos, 100 % zumo",4,2
168117,"Cranberry juice, unsweetened","Zumo de arándano rojo, sin azúcar",4,2
2709318,"Cranberry juice blend, 100% juice, with calcium added","Mezcla de zumo de arándanos rojos, 100 % zumo, con calcio añadido",4,2
167718,"Babyfood, juice, pear","Comida para bebés, zumo, pera",4,2
2709377,"Baby Toddler juice, pear","Zumo para bebés y niños pequeños, de pera",4,2
2709258,"Pear, canned, juice pack","Pera, en conserva, en envase de zumo",4,2
171352,"Babyfood, juice, apple and peach","Alimentos para bebés, zumo, manzana y melocotón",4,2
2709252,"Peach, canned, juice pack","Melocotón en conserva, en envase de zumo",4,2
169930,"Peaches, canned, juice pack, solids and liquids","Melocotones en conserva, en su propio jugo, con contenido de sólidos y líquidos",4,2
2709810,Mixed vegetable juice,Zumo de verduras variadas,4,2
171357,"Babyfood, juice, mixed fruit","Comida para bebés, zumo, mezcla de frutas",4,2
2709376,"Baby Toddler juice, mixed fruit","Zumo para bebés y niños pequeños, de frutas variadas",4,2
167796,"Fruit juice smoothie, NAKED JUICE, GREEN MACHINE","Batido de zumo de frutas, NAKED JUICE, GREEN MACHINE",4,2
169767,"Vegetable juice, BOLTHOUSE FARMS, DAILY GREENS","Zumo de verduras, BOLTHOUSE FARMS, DAILY GREENS",4,2
167798,"Fruit juice smoothie, BOLTHOUSE FARMS, GREEN GOODNESS","Batido de zumo de frutas, BOLTHOUSE FARMS, GREEN GOODNESS",4,2
2709682,Beet juice,Zumo de remolacha,4,2
2709811,Celery juice,Zumo de apio,4,2
2709338,"Fruit smoothie, light","Batido de frutas, ligero",4,2
2709339,"Fruit smoothie, bottled","Batido de frutas, embotellado",4,2
2705513,"Fruit smoothie, NFS","Batido de frutas, NFS",4,2
2710152,Vegetable smoothie,Batido de verduras,4,2
2710150,"Fruit and vegetable smoothie, bottled","Batido de frutas y verduras, embotellado",4,2
2710151,"Fruit and vegetable smoothie, no dairy","Batido de frutas y verduras, sin lácteos",4,2
2710147,"Fruit and vegetable smoothie, added protein","Batido de frutas y verduras, con proteínas añadidas",4,2
2705515,"Fruit smoothie, with whole fruit and dairy, added protein","Batido de fruta, con fruta entera y lácteos, con proteínas añadidas",4,2
2710149,"Fruit and vegetable smoothie, non-dairy, added protein","Batido de frutas y verduras, sin lácteos, con proteínas añadidas",4,2
2709340,"Fruit nectar, NFS","Néctar de frutas, NFS",4,2
2709348,Passion fruit nectar,Néctar de maracuyá,4,2
2709833,Aloe vera juice drink,Bebida de jugo de aloe vera,4,2
174131,"Beverages, aloe vera juice drink, fortified with Vitamin C","Bebidas, zumo de aloe vera, enriquecido con vitamina C",4,2
2710657,Whiskey and cola,Whisky con cola,4,2
2710663,Brandy and cola,Brandy con cola,4,2
2710660,Rum and cola,Ron con cola,4,2
171884,"Beverages, The COCA-COLA company, Minute Maid, Lemonade","Bebidas, The COCA-COLA Company, Minute Maid, limonada",4,2
175108,"Beverages, COCA-COLA, POWERADE, lemon-lime flavored, ready-to-drink","Bebidas, COCA-COLA, POWERADE, con sabor a limón y lima, listas para beber",4,2
175104,"Beverages, The COCA-COLA company, DASANI, water, bottled, non-carbonated","Bebidas, The COCA-COLA Company, DASANI, agua, embotellada, sin gas",4,2
174809,"Beverages, THE COCA-COLA COMPANY, NOS Zero, energy drink, sugar-free with guarana, fortified with vitamins B6 and B12","Bebidas, THE COCA-COLA COMPANY, NOS Zero, bebida energética, sin azúcar y con guaraná, enriquecida con vitaminas B6 y B12",4,2
173206,"Beverages, carbonated, SPRITE, lemon-lime, without caffeine","Bebidas carbonatadas, SPRITE, de limón y lima, sin cafeína",4,2
