id,name,nameES,categoriaId,medidaId
2708990,Beans and white rice,Alubias y arroz blanco,5,1
2708422,"Rice, white, cooked, glutinous",Arroz blanco cocido y glutinoso,5,1
2708994,Black beans and white rice,Frijoles negros y arroz blanco,5,1
2709033,Beans and brown rice,Alubias y arroz integral,5,1
1104812,"Flour, rice, brown","Harina, arroz, integral",5,1
168898,"Rice flour, brown",Harina de arroz integral,5,1
2708404,"Rice, white, cooked, made with oil","Arroz blanco cocido, preparado con aceite",5,1
2708408,"Rice, white, cooked, no added fat","Arroz blanco cocido, sin grasas añadidas",5,1
2708403,"Rice, white, cooked, NS as to fat",Arroz blanco cocido; sin datos sobre el contenido en grasa,5,1
2709103,"Rice, brown, with cheese and/or cream based sauce, fat added","Arroz integral con queso y/o salsa a base de nata, con grasa añadida",5,1
2709121,"Rice, brown, with vegetables, cheese and/or cream based sauce, fat added","Arroz integral con verduras, queso y/o salsa a base de nata, con grasa añadida",5,1
168897,"Wild rice, cooked","Arroz silvestre, cocido",5,1
169726,"Wild rice, raw","Arroz silvestre, crudo",5,1
2709081,"Flavored rice, brown and wild","Arroz aromatizado, integral y silvestre",5,1
173263,"Rice, brown, parboiled, cooked, UNCLE BENS","Arroz integral, precocido, cocido, UNCLE BENS",5,1
168876,"Rice, brown, parboiled, dry, UNCLE BEN'S","Arroz integral, precocido, seco, UNCLE BEN'S",5,1
169708,"Rice, white, long-grain, parboiled, enriched, cooked","Arroz blanco, de grano largo, precocido, enriquecido, cocido",5,1
2710838,"Rice, red, unenriched, dry, raw","Arroz rojo, sin enriquecer, seco, crudo",5,1
168065,"Restaurant, Latino, Arroz con habichuelas colorados (Rice And Red Beans)","Restaurante, cocina latina, arroz con alubias rojas",5,1
2709035,Black beans and brown rice,Alubias negras y arroz integral,5,1
2710825,"Rice, black, unenriched, raw","Arroz negro, sin enriquecer, crudo",5,1
169048,"Babyfood, cereal, brown rice, dry, instant","Alimentos para bebés, cereales, arroz integral, secos, instantáneos",5,1
167731,"Babyfood, cereal, rice with pears and apple, dry, instant fortified","Alimentos para bebés, cereales, arroz con peras y manzana, secos, instantáneos y enriquecidos",5,1
169709,"Rice, white, long-grain, precooked or instant, enriched, dry","Arroz blanco de grano largo, precocido o instantáneo, enriquecido, seco",5,1
173912,"Cereals ready-to-eat, rice, puffed, fortified","Cereales listos para el consumo, arroz, inflados, enriquecidos",5,1
171651,"Cereals ready-to-eat, QUAKER, QUAKER Puffed Rice","Cereales listos para consumir, QUAKER, QUAKER Arroz inflado",5,1
2708162,Rice cake,Pastel de arroz,5,1
2708455,"Cereal, rice crispy, plain","Cereales, de arroz crujiente, sin sabor",5,1
2708458,"Cereal, rice crispy, flavored","Cereales, arroz crujiente, con sabor",5,1
172983,"Cereals ready-to-eat, MALT-O-MEAL, Crispy Rice","Cereales listos para consumir, MALT-O-MEAL, Crispy Rice",5,1
2709745,Spaghetti sauce,Salsa para espaguetis,5,1
169845,"DENNY'S, spaghetti and meatballs","DENNY'S, espaguetis con albóndigas",5,1
2706470,Spaghetti sauce with meat,Salsa para espaguetis con carne,5,1
2706483,Chili with macaroni,Chili con macarrones,5,1
2708811,Macaroni or noodles with cheese,Macarrones o fideos con queso,5,1
2708822,Macaroni or noodles with cheese and egg,Macarrones o fideos con queso y huevo,5,1
169738,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)",Pasta integral seca (Incluye alimentos para el Programa de Distribución de Alimentos del Departamento de Agricultura de los Estados Unidos [USDA]),5,1
169751,"Pasta, cooked, enriched, with added salt","Pasta, cocida, enriquecida, con sal añadida",5,1
169737,"Pasta, cooked, enriched, without added salt","Pasta, cocida, enriquecida, sin sal añadida",5,1
2708929,"Macaroni or noodles, creamed, with cheese and tuna","Macarrones o fideos con salsa cremosa, queso y atún",5,1
2708750,Lasagna with meat,Lasaña con carne,5,1
2708758,"Lasagna, meatless",Lasaña sin carne,5,1
