id,name,nameES,categoriaId,medidaId
2707523,"Pecans, salted",Nueces pecanas saladas,18,1
2707487,"Almonds, salted",Almendras saladas,18,1
2707495,"Cashews, salted",Anacardos salados,18,1
170931,"Spices, pepper, black","Especias, pimienta, negra",18,1
170923,"Spices, cumin seed","Especias, semillas de comino",18,1
171328,"Spices, oregano, dried","Especias, orégano, seco",18,1
171849,"Bread, cinnamon","Pan, canela",18,1
2707620,"Bread, cinnamon","Pan, canela",18,1
2710261,"Sugar, cinnamon","Azúcar, canela",18,1
171319,"Spices, chili powder","Especias, chile en polvo",18,1
171329,"Spices, paprika","Especias, pimentón",18,1
170917,"Spices, bay leaf","Especias, hoja de laurel",18,1
173470,"Thyme, fresh",Tomillo fresco,18,1
170938,"Spices, thyme, dried","Especias, tomillo, seco",18,1
173473,"Rosemary, fresh",Romero fresco,18,1
171333,"Spices, rosemary, dried","Especias, romero, seco",18,1
171321,"Spices, cloves, ground","Especias, clavo, molido",18,1
2710507,"Tea, ginger","Té, jengibre",18,1
2710082,"Ginger root, pickled",Raíz de jengibre en escabeche,18,1
2710659,Whiskey and ginger ale,Whisky con ginger ale,18,1
2706388,Beef curry,Curry de ternera,18,1
2706437,Chicken curry,Pollo al curry,18,1
2710178,Curry sauce,Salsa de curry,18,1
2710085,Mustard,Mostaza,18,1
172337,"Oil, mustard","Aceite, mostaza",18,1
2710086,Honey mustard dip,Salsa de mostaza y miel,18,1
2709733,Ketchup,Kétchup,18,1
747693,"Ketchup, restaurant","Kétchup, restaurante",18,1
2709734,"Ketchup, reduced sodium","Kétchup, con bajo contenido en sodio",18,1
2710204,"Mayonnaise, regular","Mayonesa, normal",18,1
2710205,Vegan mayonnaise,Mayonesa vegana,18,1
2710220,"Mayonnaise, light",Mayonesa light,18,1
2707442,Soy sauce,Salsa de soja,18,1
174278,Soy sauce made from soy (tamari),Salsa de soja elaborada con soja (tamari),18,1
174277,Soy sauce made from soy and wheat (shoyu),Salsa de soja elaborada con soja y trigo (shoyu),18,1
2709351,Vinegar,Vinagre,18,1
172241,"Vinegar, balsamic",Vinagre balsámico,18,1
173469,"Vinegar, cider",Vinagre de sidra,18,1
2710262,Sugar substitute and sugar blend,Sustituto del azúcar y mezcla de azúcares,18,1
2707988,"Cookie, sugar or plain, sugar free","De galleta, con azúcar o sin azúcar, sin azúcar",18,1
2707989,"Cookie, sugar wafer, sugar free","Galleta, oblea de azúcar, sin azúcar",18,1
169640,Honey,Cariño,18,1
2710281,Honey,Cariño,18,1
2710179,Honey butter,Mantequilla de miel,18,1