id,name,nameES,categoriaId,medidaId
1750339,"Apples, red delicious, with skin, raw","Manzanas «Red Delicious», con piel, crudas",9,1
2709563,Plantain chips,Chips de plátano,9,1
2709560,"Plantain, raw","Plátano macho, crudo",9,1
2709559,"Plantain, cooked with oil","Plátano, cocinado con aceite",9,1
173945,"Bananas, dehydrated, or banana powder",Plátanos deshidratados o en polvo,9,1
2709225,"Banana, baked",Plátano al horno,9,1
2709224,"Banana, raw","Plátano, crudo",9,1
746771,"Oranges, raw, navels","Naranjas, crudas, navel",9,1
169917,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)","Naranjas, crudas, de tipo «navel» (incluye alimentos para el Programa de Distribución de Alimentos del USDA)",9,1
169916,"Oranges, raw, California, valencias","Naranjas, crudas, de California, de Valencia",9,1
2709283,"Strawberries, raw","Fresas, crudas",9,1
2709284,"Strawberries, canned",Fresas en conserva,9,1
2709285,"Strawberries, frozen","Fresas, congeladas",9,1
2346413,"Grapes, green, seedless, raw","Uvas verdes, sin pepitas, crudas",9,1
174683,"Grapes, red or green (European type, such as Thompson seedless), raw","Uvas, rojas o verdes (de tipo europeo, como la Thompson sin semillas), crudas",9,1
2346412,"Grapes, red, seedless, raw","Uvas rojas, sin pepitas, crudas",9,1
2710836,"Pear, Anjou, green, with skin, raw","Pera Anjou, verde, con piel, cruda",9,1
167779,"Pears, raw, green anjou (Includes foods for USDA's Food Distribution Program)","Peras crudas, Anjou verdes (Incluye alimentos para el Programa de Distribución de Alimentos del USDA)",9,1
167777,"Pears, raw, red anjou","Peras crudas, Anjou rojas",9,1
2709270,"Watermelon, raw","Sandía, cruda",9,1
167765,"Watermelon, raw","Sandía, cruda",9,1
2709333,"Watermelon juice, 100%","Zumo de sandía, 100 %",9,1
2709227,"Melon, frozen","Melón, congelado",9,1
167791,Horned melon (Kiwano),Melón con cuernos (kiwano),9,1
2710004,"Winter melon, cooked","Calabaza de invierno, cocida",9,1
2709260,"Pineapple, raw","Piña, cruda",9,1
2709264,"Pineapple, frozen","Piña, congelada",9,1
2709210,"Pineapple, dried","Piña, seca",9,1
2709242,"Mango, raw","Mango, crudo",9,1
2709243,"Mango, canned","Mango, en conserva",9,1
2709244,"Mango, frozen","Mango, congelado",9,1
2709239,"Kiwi fruit, raw","Kiwi, crudo",9,1
174111,"Beverages, Kiwi Strawberry Juice Drink","Bebidas, Zumo de kiwi y fresa",9,1
2710831,"Kiwifruit (kiwi), green, peeled, raw","Kiwi, verde, pelado, crudo",9,1
2709249,"Peach, raw","Melocotón, crudo",9,1
2709253,"Peach, frozen","Melocotón, congelado",9,1
2708022,"Cobbler, peach",Tarta de melocotón,9,1
2709175,"Tangerine, raw","Mandarina, cruda",9,1
2709193,"Tangerine juice, 100%","Zumo de mandarina, 100 %",9,1
169925,"Tangerine juice, raw","Zumo de mandarina, sin procesar",9,1
173218,"Beverages, SNAPPLE, tea, black and green, ready to drink, lemon, diet","Bebidas, SNAPPLE, té, negro y verde, listo para beber, de limón, light",9,1
174143,"Beverages, tea, green, instant, decaffeinated, lemon, unsweetened, fortified with vitamin C","Bebidas, té, verde, instantáneo, descafeinado, con limón, sin azúcar, enriquecido con vitamina C",9,1
171719,"Cherries, sweet, raw","Cerezas dulces, crudas",9,1
2346399,"Cherries, sweet, dark red, raw","Cerezas dulces, de color rojo oscuro, crudas",9,1
173958,"Cherries, sweet, canned, juice pack, solids and liquids","Cerezas dulces en conserva, envasadas en su propio jugo, con contenido de sólidos y líquidos",9,1
173954,"Cherries, sour, red, raw","Cerezas, ácidas, rojas, crudas",9,1
167769,"Cherries, sour, canned, water pack, drained","Cerezas ácidas, en conserva, en agua, escurridas",9,1
173955,"Cherries, sour, red, canned, water pack, solids and liquids","Cerezas ácidas, rojas, en conserva, envasadas en agua, con contenido sólido y líquido",9,1
2709273,"Blackberries, raw","Moras, crudas",9,1
2709274,"Blackberries, frozen","Moras, congeladas",9,1
173946,"Blackberries, raw","Moras, crudas",9,1
2709275,"Blueberries, raw","Arándanos, crudos",9,1
2709277,"Blueberries, frozen","Arándanos, congelados",9,1
2709198,"Blueberries, dried",Arándanos secos,9,1
169926,"Papayas, raw","Papayas, crudas",9,1
2709247,"Papaya, canned","Papaya, en conserva",9,1
2709246,"Papaya, raw","Papaya, cruda",9,1
167528,"Pastry, Pastelitos de Guava (guava pastries)","Pastelería, Pastelitos de guayaba",9,1
2709344,Guava nectar,Néctar de guayaba,9,1
2710307,Guava paste,Mermelada de guayaba,9,1
2710837,"Plum, black, with skin, raw","Ciruela negra, con piel, cruda",9,1
2709245,"Nectarine, raw","Nectarina, cruda",9,1
169914,"Nectarines, raw","Nectarinas, crudas",9,1
327357,"Nectarines, raw","Nectarinas, crudas",9,1
2709165,"Grapefruit, raw","Pomelo, crudo",9,1
2709166,"Grapefruit, canned","Pomelo, en conserva",9,1
2758977,"Grapefruit, raw","Pomelo, crudo",9,1
2709306,Lime souffle,Soufflé de lima,9,1
2709170,"Lime, raw","Lima, cruda",9,1
168155,"Limes, raw","Limones verdes, crudos",9,1
2709281,"Raspberries, raw","Frambuesas, crudas",9,1
2709282,"Raspberries, frozen","Frambuesas, congeladas",9,1
2346410,"Raspberries, raw","Frambuesas, crudas",9,1
2709267,"Pomegranate, raw","Granada, cruda",9,1
169134,"Pomegranates, raw","Granadas, crudas",9,1
2709330,"Pomegranate juice, 100%","Zumo de granada, 100 %",9,1
2705413,Coconut milk,Leche de coco,9,1
2710182,Coconut oil,Aceite de coco,9,1
2707500,"Coconut, fresh",Coco fresco,9,1
2709348,Passion fruit nectar,Néctar de maracuyá,9,1
2709248,"Passion fruit, raw","Fruta de la pasión, cruda",9,1
2709328,"Passion fruit juice, 100%","Zumo de maracuyá, 100 %",9,1
2709350,"Soursop, nectar","Guana, néctar",9,1
167761,"Soursop, raw","Corosolo, crudo",9,1
167760,"Sapote, mamey, raw","Sapote, mamey, crudo",9,1
169909,"Mammy-apple, (mamey), raw","Mamey, (mamey), crudo",9,1
173953,"Cherimoya, raw","Cherimoya, cruda",9,1
2709240,Lychee,Lichi,9,1
169087,"Litchis, dried","Lichis, secos",9,1
169086,"Litchis, raw","Lichis, crudos",9,1
168167,"Rambutan, canned, syrup pack","Rambután, en conserva, en almíbar",9,1
168192,"Durian, raw or frozen","Durian, fresco o congelado",9,1
174687,"Jackfruit, raw","Jackfruit, crudo",9,1
168190,"Jackfruit, canned, syrup pack","Jackfruit, en conserva, en almíbar",9,1
2709269,Tamarind,Tamarindo,9,1
170281,"Candies, Tamarind","Caramelos, tamarindo",9,1
2710568,Tamarind drink,Bebida de tamarindo,9,1
2709234,Dragon fruit,Fruta del dragón,9,1
171687,"Acerola juice, raw","Zumo de acerola, sin procesar",9,1
171686,"Acerola, (west indian cherry), raw","Acerola (cereza de las Indias Occidentales), cruda",9,1
168176,"Feijoa, raw","Feijoa, cruda",9,1
171725,"Custard-apple, (bullock's-heart), raw","Chirimoya (corazón de buey), cruda",9,1
2709236,"Fig, canned","Higo, en conserva",9,1
2709204,"Fig, dried",Higo seco,9,1
2709235,"Fig, raw","Higo, crudo",9,1
168163,"Quinces, raw","Membrillos, crudos",9,1
167750,"Prickly pears, raw","Higos chumbos, crudos",9,1
169817,"Prickly pears, broiled (Northern Plains Indians)","Higos chumbos, asados a la parrilla (indígenas de las llanuras del norte)",9,1
169816,"Prickly pears, raw (Northern Plains Indians)","Higos chumbos, crudos (indígenas de las llanuras del norte)",9,1
2709203,Date,Fecha,9,1
168191,"Dates, medjool",Dátiles Medjool,9,1
171726,"Dates, deglet noor",Dátiles «Deglet Noor»,9,1
169908,"Loquats, raw","Nísperos, crudos",9,1
2709201,"Currants, dried",Pasas de grosella,9,1
171724,"Currants, zante, dried","Pasas de Zante, secas",9,1
173963,"Currants, european black, raw","Pasas de corinto, negras europeas, sin procesar",9,1
2710671,Sloe gin fizz,Sloe Gin Fizz,9,1
2710623,Liqueur,Licor,9,1
173030,"Gooseberries, raw","Grosellas, crudas",9,1
173043,"Groundcherries, (cape-gooseberries or poha), raw","Fresas de tierra (fresas del Cabo o «poha»), crudas",9,1
173031,"Gooseberries, canned, light syrup pack, solids and liquids","Grosellas espinosas, en conserva, en almíbar ligero, sólidos y líquidos",9,1
168566,"Tomatillos, raw","Tomatillos, crudos",9,1
2709212,Raisins,Pasas,9,1
2707960,"Cookie, raisin",Galleta con pasas,9,1
2707644,"Bread, raisin",Pan con pasas,9,1
167780,Prune puree,Puré de ciruelas pasas,9,1
2709211,"Prune, dried","Ciruelas pasas, secas",9,1
2709371,Baby Toddler prunes,Ciruelas pasas para bebés y niños pequeños,9,1
174666,"Figs, dried, stewed","Higos secos, guisados",9,1
746768,"Figs, dried, uncooked","Higos secos, sin cocer",9,1
2709197,"Apricot, dried",Albaricoque seco,9,1
173941,"Apricots, dried, sulfured, uncooked","Albaricoques, secos, sulfurados, sin cocer",9,1
173943,"Apricots, dried, sulfured, stewed, with added sugar","Albaricoques secos, sulfatados, cocidos, con azúcar añadido",9,1
2709205,"Mango, dried",Mango seco,9,1
169091,"Mango, dried, sweetened","Mango, seco, azucarado",9,1
168585,"Nuts, coconut meat, dried (desiccated), creamed","Frutos secos, pulpa de coco, deshidratada (desecada), en crema",9,1
170170,"Nuts, coconut meat, dried (desiccated), not sweetened","Frutos secos, pulpa de coco, deshidratada (desecada), sin endulzar",9,1
170579,"Nuts, coconut meat, dried (desiccated), toasted","Frutos secos, pulpa de coco, deshidratada (desecada), tostada",9,1
168158,"Blueberries, dried, sweetened","Arándanos secos, azucarados",9,1
2709202,"Cranberries, dried","Arándanos rojos, secos",9,1
2758976,"Cranberries, dried, sweetened","Arándanos rojos, secos, azucarados",9,1
171723,"Cranberries, dried, sweetened (Includes foods for USDA's Food Distribution Program)","Arándanos rojos, secos, azucarados (incluye alimentos para el Programa de Distribución de Alimentos del USDA)",9,1