id,name,nameES,categoriaId,medidaId
2707395,Black bean salad,Ensalada de alubias negras,11,1
2707404,Black bean sauce,Salsa de alubias negras,11,1
2707366,Black beans with meat,Frijoles negros con carne,11,1
2707378,Pinto beans with meat,Alubias pintas con carne,11,1
2707371,"Pinto beans, NFS","Alubias pintas, NFS",11,1
2709036,Pinto beans and brown rice,Alubias pintas y arroz integral,11,1
747431,"Beans, Dry, Red (0% moisture)",Alubias rojas secas (0 % de humedad),11,1
747430,"Beans, Dry, Medium Red (0% moisture)","Alubias secas, rojas medianas (0 % de humedad)",11,1
747443,"Beans, Dry, Small Red (0% moisture)","Alubias secas, rojas pequeñas (0 % de humedad)",11,1
2707431,Lentil curry,Curry de lentejas,11,1
2644283,"Lentils, dry","Lentejas, secas",11,1
2707423,"Lentils, NFS","Lentejas, NFS",11,1
2707414,"Chickpeas, NFS","Garbanzos, NFS",11,1
174288,Chickpea flour (besan),Harina de garbanzos (besan),11,1
2707417,"Chickpeas, from canned, fat added","Garbanzos, en conserva, con grasa añadida",11,1
2707367,"Fava beans, cooked","Habas, cocidas",11,1
168574,"Beans, fava, in pod, raw","Alubias, habas, con vaina, crudas",11,1
173754,"Broadbeans (fava beans), mature seeds, canned","Habas (fava), semillas maduras, en conserva",11,1
748366,"Oil, soybean","Aceite, soja",11,1
2707435,Soybean curd,Tofu,11,1
2710191,Soybean oil,Aceite de soja,11,1
2707413,"Blackeyed peas, from dried","Alubias de ojo negro, secas",11,1
2707421,"Split peas, from dried, fat added","Guisantes partidos, secos, con grasa añadida",11,1
2707420,"Split peas, from dried, no added fat","Guisantes partidos, secos, sin grasas añadidas",11,1
2707368,"Lima beans, NFS","Alubias de Lima, NFS",11,1
2709850,"Lima beans, from canned","Alubias de Lima, en conserva",11,1
2707369,"Lima beans, from dried","Alubias de Lima, secas",11,1