id,name,nameES,categoriaId,medidaId
2709710,Sweet potato chips,Chips de boniato,19,1
174783,"Snacks, sweet potato chips, unsalted","Aperitivos, chips de boniato, sin sal",19,1
2709447,Vegetable chips,Chips de verduras,19,1
2709563,Plantain chips,Chips de plátano,19,1
173142,"Snacks, plantain chips, salted","Aperitivos, chips de plátano, salados",19,1
2709427,"Potato chips, ruffled, plain","Patatas fritas onduladas, sin sabor",19,1
2709425,"Potato chips, cheese flavored",Patatas fritas con sabor a queso,19,1
2709430,"Potato chips, ruffled, cheese flavored",Patatas fritas onduladas con sabor a queso,19,1
169682,"Snacks, potato chips, cheese-flavor","Aperitivos, patatas fritas, con sabor a queso",19,1
2709424,"Potato chips, sour cream and onion flavored",Patatas fritas con sabor a crema agria y cebolla,19,1
2709429,"Potato chips, ruffled, sour cream and onion flavored","Patatas fritas onduladas, con sabor a crema agria y cebolla",19,1
167963,"Snacks, potato chips, sour-cream-and-onion-flavor","Aperitivos, patatas fritas, sabor a crema agria y cebolla",19,1
167525,"Tostada shells, corn",Tostadas de maíz,19,1
2707826,"Taco shell, corn",Tortilla de maíz para tacos,19,1
2708577,"Nachos, cheese only","Nachos, solo con queso",19,1
170291,"Fast foods, nachos, with cheese","Comida rápida, nachos con queso",19,1
167559,"Snacks, tortilla chips, nacho cheese","Aperitivos, tortilla chips, queso para nachos",19,1
2708204,"Tortilla chips, flavored","Tortilla chips, con sabor",19,1
2708202,"Tortilla chips, plain","Tortilla chips, sin sabor",19,1
2708212,"Tortilla chips, reduced sodium","Tortilla chips, con bajo contenido en sodio",19,1
2708161,"Chips, rice","Patatas fritas, arroz",19,1
173155,"Snacks, brown rice chips","Aperitivos, chips de arroz integral",19,1
2707939,"Cookie, marshmallow, with rice cereal and chocolate chips","Galleta de malvavisco, con cereales de arroz y trocitos de chocolate",19,1
2708101,"Cereal or Granola bar, NFS","Barrita de cereales o granola, NFS",19,1
2708242,"Popcorn chips, plain","Chips de palomitas, sin sabor",19,1
2708224,"Popcorn, microwave, plain","Palomitas de maíz, para microondas, sin aderezo",19,1
2708225,"Popcorn, microwave, plain, light","Palomitas de maíz, para microondas, sin aditivos, light",19,1
2708227,"Popcorn, microwave, butter flavored","Palomitas de maíz, para microondas, con sabor a mantequilla",19,1
2708219,"Popcorn, air-popped, no butter added","Palomitas de maíz, hechas al aire, sin mantequilla añadida",19,1
2708218,"Popcorn, movie theater, no butter added","Palomitas, cine, sin mantequilla añadida",19,1
2708239,"Popcorn, caramel coated",Palomitas de maíz recubiertas de caramelo,19,1
2708240,"Popcorn, caramel coated, with nuts",Palomitas de maíz recubiertas de caramelo con frutos secos,19,1
167551,"Snacks, popcorn, caramel-coated, with peanuts","Aperitivos, palomitas recubiertas de caramelo con cacahuetes",19,1
2708229,"Popcorn, microwave, cheese flavored","Palomitas de maíz, para microondas, con sabor a queso",19,1
167960,"Snacks, popcorn, cheese-flavor","Aperitivos, palomitas, sabor a queso",19,1
2708236,"Popcorn, ready-to-eat, cheese flavored","Palomitas de maíz, listas para comer, con sabor a queso",19,1
2708241,"Popcorn, chocolate coated",Palomitas de maíz recubiertas de chocolate,19,1
2708230,"Popcorn, microwave, kettle","Palomitas, microondas, hervidor",19,1
2708223,"Popcorn, microwave, NFS","Palomitas, microondas, NFS",19,1
173345,"Corn dogs, frozen, prepared","Corn dogs, congelados, preparados",19,1
170492,"Corn pudding, home prepared","Pudín de maíz, casero",19,1
175002,"Muffins, corn, commercially prepared","Magdalenas, maíz, preparadas industrialmente",19,1
2708208,"Tortilla chips, other flavors (Doritos)","Chips de tortilla, otros sabores (Doritos)",19,1
2707909,"Cookie, chocolate chip",Galleta con trocitos de chocolate,19,1
2707912,"Cookie, chocolate chip sandwich",Bocadillo de galleta con trocitos de chocolate,19,1
2707949,"Cookie, oatmeal, with chocolate chips",Galleta de avena con trocitos de chocolate,19,1
2707952,"Cookie, peanut butter","Galleta, mantequilla de cacahuete",19,1
2707970,"Cookie, butter or sugar","Galletas, mantequilla o azúcar",19,1
2707953,"Cookie, peanut butter, with chocolate",Galleta de mantequilla de cacahuete con chocolate,19,1
2707946,"Cookie, oatmeal, with raisins",Galleta de avena con pasas,19,1
174963,"Cookies, oatmeal, with raisins",Galletas de avena con pasas,19,1
333008,"Cookies, oatmeal, soft, with raisins","Galletas de avena, blanditas, con pasas",19,1
2707988,"Cookie, sugar or plain, sugar free","De galleta, con azúcar o sin azúcar, sin azúcar",19,1
2707989,"Cookie, sugar wafer, sugar free","Galleta, oblea de azúcar, sin azúcar",19,1
175077,"Archway Home Style Cookies, Reduced Fat Ginger Snaps","Galletas Archway Home Style, galletas de jengibre bajas en grasa",19,1
2707942,"Cookie, molasses","Galleta, melaza",19,1
2707981,"Cookie, vanilla wafer","Galleta, oblea de vainilla",19,1
2707975,"Cookie, vanilla sandwich","Galleta, sándwich de vainilla",19,1
2707923,"Cookie, chocolate and vanilla sandwich","Sándwich de galleta, chocolate y vainilla",19,1
2707935,"Cookie, lemon bar","Galleta, barrita de limón",19,1
171859,"Cookies, gluten-free, lemon wafer","Galletas sin gluten, de limón",19,1
174959,"Cookies, ladyfingers, with lemon juice and rind","Galletas tipo «ladyfingers», con zumo y ralladura de limón",19,1
2707991,"Cookie, gluten free",Galleta sin gluten,19,1
171858,"Cookies, gluten-free, chocolate wafer",Galletas sin gluten de chocolate,19,1
2708162,Rice cake,Pastel de arroz,19,1
168107,"Rice cake, cracker (include hain mini rice cakes)","Galletas de arroz, galletas saladas (incluidas las mini galletas de arroz Hain)",19,1
2708345,Cake made with glutinous rice,Pastel elaborado con arroz glutinoso,19,1
167529,"Crackers, snack, Goya Crackers","Galletas saladas, aperitivos, galletas saladas Goya",19,1
2708136,"Crackers, oatmeal","Galletas saladas, copos de avena",19,1
2708160,"Crackers, oyster","Galletas saladas, de ostras",19,1
2708150,"Crackers, cheese","Galletas saladas, queso",19,1
2708152,"Crackers, cheese (Goldfish)","Galletas saladas, queso (Goldfish)",19,1
2708151,"Crackers, cheese (Cheez-It)","Galletas saladas, queso (Cheez-It)",19,1
172749,"Crackers, whole-wheat","Galletas saladas, de trigo integral",19,1
172742,"Crackers, matzo, whole-wheat","Galletas saladas, matzá, de trigo integral",19,1
172823,"Crackers, whole-wheat, low salt","Galletas saladas, de trigo integral, bajas en sal",19,1
174104,"Crackers, gluten-free, multi-seeded and multigrain","Galletas saladas, sin gluten, con semillas y multigrano",19,1
168012,"Van's, The Perfect 10, Crispy Six Whole Grain + Four Seed Baked Crackers, Gluten Free","Van's, «The Perfect 10», galletas saladas crujientes «Crispy Six» de cereales integrales y cuatro semillas, sin gluten",19,1
2708146,"Crackers, butter, plain","Galletas saladas, mantequilla, sin sabor",19,1
2707924,"Cookie, chocolate wafer","Galleta, barquillo de chocolate",19,1
2707973,"Cookie, sugar wafer","Galleta, oblea de azúcar",19,1
2707930,"Cookie, fortune","Galleta, galleta de la suerte",19,1
172722,"Cookies, fortune","Galletas, la bola de la fortuna",19,1
2707927,"Cookie, coconut","Galleta, coco",19,1
2707937,"Cookie, marshmallow, with coconut",Galleta de malvavisco con coco,19,1
171847,"Cookies, coconut macaroon","Galletas, macarrones de coco",19,1
2707900,"Cookie, almond",Galleta de almendra,19,1
2707907,"Cookie, butterscotch, brownie","Galleta, caramelo, brownie",19,1
2707904,"Cookie, brownie, without icing","Galleta, brownie, sin glaseado",19,1
2707905,"Cookie, brownie, with icing or filling","Galletas, brownies, con glaseado o relleno",19,1
2707855,"Cake or cupcake, apple","Tarta o magdalena, de manzana",19,1
2707856,"Cake or cupcake, banana",Tarta o magdalena de plátano,19,1
2707859,"Cake or cupcake, carrot",Tarta o magdalena de zanahoria,19,1
174993,"Doughnuts, cake-type, chocolate, sugared or glazed","Donuts tipo bizcocho, de chocolate, azucarados o glaseados",19,1
174990,"Doughnuts, cake-type, plain (includes unsugared, old-fashioned)","Donuts tipo bizcocho, sin relleno (incluidos los sin azúcar y los tradicionales)",19,1
174991,"Doughnuts, cake-type, plain, chocolate-coated or frosted","Donuts, tipo bizcocho, sin relleno, recubiertos de chocolate o glaseados",19,1
2707535,Almond paste,Pasta de almendra,19,1
2705699,Dulce de leche,Dulce de leche,19,1
