id,name,nameES,categoriaId,medidaId
2709590,"Romaine lettuce, raw","Lechuga romana, cruda",20,1
169247,"Lettuce, cos or romaine, raw","Lechuga, tipo cos o romana, cruda",20,1
746769,"Lettuce, cos or romaine, raw","Lechuga, tipo cos o romana, cruda",20,1
2346388,"Lettuce, iceberg, raw","Lechuga iceberg, cruda",20,1
169248,"Lettuce, iceberg (includes crisphead types), raw","Lechuga iceberg (incluidas las variedades de cabeza crujiente), cruda",20,1
2709789,"Lettuce, raw","Lechuga, cruda",20,1
2709628,"Spinach, creamed",Espinacas a la crema,20,1
2709614,"Spinach, raw","Espinacas, crudas",20,1
2709629,Spinach souffle,Soufflé de espinacas,20,1
169991,"Chard, swiss, raw","Acelgas suizas, crudas",20,1
169343,"Chard, swiss, cooked, boiled, drained, with salt","Acelgas suizas, cocidas, escurridas y con sal",20,1
170401,"Chard, swiss, cooked, boiled, drained, without salt","Acelgas suizas, cocidas, escurridas, sin sal",20,1
168421,"Kale, raw","Kale, cruda",20,1
2709599,"Kale, raw","Kale, cruda",20,1
323505,"Kale, raw","Kale, cruda",20,1
169387,"Arugula, raw","Rúcula, cruda",20,1
2710822,"Arugula, baby, raw","Rúcula, tierna, cruda",20,1
2709791,"Lettuce, arugula, raw","Lechuga, rúcula, crudas",20,1
2709640,"Watercress, cooked","Berros, cocidos",20,1
170068,"Watercress, raw","Berros, crudos",20,1
2709639,"Watercress, raw","Berros, crudos",20,1
171029,"Oil, corn, industrial and retail, all purpose salad or cooking","Aceite para maíz, uso industrial y doméstico, para ensaladas o para cocinar en general",20,1
168412,"Endive, raw","Endibia, cruda",20,1
2709592,"Escarole, cooked","Escarola, cocida",20,1
168413,"Escarole, cooked, boiled, drained, no salt added","Escarola, cocida, escurrida, sin sal añadida",20,1
168572,"Cabbage, napa, cooked","Col china, cocida",20,1
2727583,"Cabbage, napa, leaf, destemmed, raw","Col, col china, de hoja, sin tallos, cruda",20,1
170390,"Cabbage, chinese (pak-choi), raw","Col china (pak-choi), cruda",20,1
168517,"Cabbage, chinese (pak-choi), cooked, boiled, drained, with salt","Col china (pak-choi), cocida, escurrida y con sal",20,1
170391,"Cabbage, chinese (pak-choi), cooked, boiled, drained, without salt","Col china (pak-choi), cocida, escurrida, sin sal",20,1
2709606,"Mustard greens, raw","Hojas de mostaza, crudas",20,1
169256,"Mustard greens, raw","Hojas de mostaza, crudas",20,1
169258,"Mustard greens, frozen, unprepared","Hojas de mostaza, congeladas, sin preparar",20,1
170470,"Turnip greens and turnips, frozen, unprepared","Hojas de nabo y nabos, congelados, sin preparar",20,1
170061,"Turnip greens, raw","Hojas de nabo, crudas",20,1
170468,"Turnip greens, frozen, unprepared","Hojas de nabo, congeladas, sin preparar",20,1
2709571,"Beet greens, cooked","Hojas de remolacha, cocidas",20,1
2709570,"Beet greens, raw","Hojas de remolacha, crudas",20,1
170375,"Beet greens, raw","Hojas de remolacha, crudas",20,1
2346390,"Lettuce, leaf, red, raw","Lechuga de hoja, roja, cruda",20,1
168431,"Lettuce, red leaf, raw","Lechuga de hoja roja, cruda",20,1
2709790,"Lettuce, Boston, raw","Lechuga de Boston, cruda",20,1
169249,"Lettuce, green leaf, raw","Lechuga de hoja verde, cruda",20,1
2346391,"Lettuce, leaf, green, raw","Lechuga, de hoja, verde, cruda",20,1
2709656,Fried broccoli,Brócoli frito,20,1
2709643,"Broccoli, raw","Brócoli, crudo",20,1
2706738,Beef and broccoli,Carne de ternera con brócoli,20,1
2710042,Fried cauliflower,Coliflor frita,20,1
2710074,"Cauliflower, pickled",Coliflor en escabeche,20,1
2685573,"Cauliflower, raw","Coliflor, cruda",20,1
2709773,"Cabbage, green, raw","Col verde, cruda",20,1
2710075,"Cabbage, green, pickled","Col verde, encurtida",20,1
2346407,"Cabbage, green, raw","Col verde, cruda",20,1
2710076,"Cabbage, red, pickled",Col roja en escabeche,20,1
2709775,"Cabbage, red, raw","Col roja, cruda",20,1
2709893,"Cabbage, red, cooked","Col roja, cocida",20,1
2709772,"Brussels sprouts, raw","Coles de Bruselas, crudas",20,1
2685575,"Brussels sprouts, raw","Coles de Bruselas, crudas",20,1
170383,"Brussels sprouts, raw","Coles de Bruselas, crudas",20,1
2709894,"Cabbage, savoy, cooked","Col de Milán, cocida",20,1
170388,"Cabbage, savoy, raw","Col, de Saboya, cruda",20,1
168516,"Cabbage, savoy, cooked, boiled, drained, with salt","Col de Saboya, cocida, escurrida y con sal",20,1
2709576,"Collards, raw","Col rizada, cruda",20,1
2709582,"Collards, fresh, cooked with oil","Col rizada, fresca, cocinada con aceite",20,1
2709584,"Collards, frozen, cooked with oil","Col rizada, congelada, cocinada con aceite",20,1
170434,"Potatoes, white, flesh and skin, baked","Patatas blancas, con pulpa y piel, al horno",20,1
170028,"Potatoes, white, flesh and skin, raw","Patatas blancas, pulpa y piel, crudas",20,1
169046,"Snacks, potato chips, white, restructured, baked","Aperitivos, patatas fritas, blancas, reestructuradas, al horno",20,1
170435,"Potatoes, red, flesh and skin, baked","Patatas rojas, con pulpa y piel, al horno",20,1
170029,"Potatoes, red, flesh and skin, raw","Patatas rojas, pulpa y piel, crudas",20,1
2346402,"Potatoes, red, without skin, raw","Patatas rojas, sin piel, crudas",20,1
169764,"Potatoes, yellow fleshed, french fried, frozen, unprepared","Patatas de pulpa amarilla, fritas, congeladas, sin preparar",20,1
169763,"Potatoes, yellow fleshed, roasted, salt added in processing, frozen, unprepared","Patatas de pulpa amarilla, asadas, a las que se les ha añadido sal durante su elaboración, congeladas, sin preparar",20,1
168945,"Potatoes, yellow fleshed, hash brown, shredded, salt added in processing, frozen, unprepared","Patatas de pulpa amarilla, en forma de tortitas, ralladas, con sal añadida durante el procesamiento, congeladas, sin preparar",20,1
